Year,SSP534,SSP534-15,SSP534-20
2040,4915916800,5763932160,5658334720
2041,5131739136,5799914496,5072465920
2042,5425953792,5824612864,5390692352
2043,4865824768,5795396608,5413374464
2044,5458210816,6080731136,5326106112
2045,5200848896,5751138304,5565594112
2046,5421426176,6111630336,5808924160
2047,5449795584,5872444416,5584717824
2048,5290818560,6098015232,5563034112
2049,5414603776,6198124544,5770136576
2050,5530293760,6198279168,5912651264
2051,5290091520,6243466752,5925758976
2052,5597735424,6211719168,5952152576
2053,5344638976,6482933760,6103001600
2054,5504883712,6141245440,6266893824
2055,5837073408,5957208576,5886172160
2056,5520368128,6232397312,5811276288
2057,5568601088,5756690944,5825940480
2058,5408844288,5967114240,5910792704
2059,5302614016,6020307968,6099808768
2060,5809188352,5944859648,6096633856
2061,5403940352,6159340544,6049108992
2062,5162183680,6289490944,5838909440
2063,5415001088,6150031360,5834502144
2064,5671325696,6343245312,6281332736
2065,5403714560,6454397952,6049367040
2066,5250093568,6347540480,5750077440
2067,5337501696,6034225664,6121616384
2068,5292576768,6189998080,6055634432
2069,5285110784,6079857152,5846041088
2070,4748658688,6353458176,6018862080
2071,5036961792,6213517312,5849030656
2072,5230033920,6339398656,5472944128
2073,5507905536,5969558528,5662321152
2074,5322846720,6222716928,5374702592
2075,5014943744,5927000064,5441185280
2076,5638966272,6254694400,5697916928
2077,5094922752,6286450688,5460700160
2078,5012271616,6146101760,5891261952
2079,5252144128,6142925312,5960013312
2080,5125313536,5573785600,5538944000
2081,4991263744,6357927936,5698056192
2082,5028311040,6316552192,5372153344
2083,4948284416,5759986688,5305803776
2084,4987868160,5439264768,5364164096
2085,4938755584,6052178944,5769674752
2086,5451161600,5875283968,5604453376
2087,5472144384,5689464320,5581077504
2088,5041845248,5349095424,5498591232
2089,5045874176,5533458432,4904599552
2090,5495841792,5259133440,5206138880
2091,4982011904,5640378368,5457942528
2092,4962902016,5783668736,5680801792
2093,5181628416,5700120064,5595736576
2094,4998415360,5497824768,5466807296
2095,4698259456,5446070272,5326829568
2096,4915127296,5623297024,5316882944
2097,4798377984,5535471616,5491996672
2098,5139985408,5203594240,5515544576
2099,4838149120,5537256448,5239578112
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
4256685056,,,
4567404032,,,
4594169856,,,
4375926272,,,
4620140544,,,
4603600384,,,
4488149504,,,
4560637952,,,
4580177408,,,
4568405504,,,
4865282048,,,
5011482624,,,
4860499968,,,
4867105280,,,
5004902400,,,
4869370368,,,
5188311040,,,
4869779968,,,
5241047552,,,
4791925248,,,
4910811136,,,
5010917376,,,
5267157504,,,
5065365504,,,
5016416256,,,
5222068736,,,
4753080320,,,
5348461056,,,
5482195968,,,
5721988096,,,
5303277056,,,
5287710720,,,
4832128000,,,
5629197312,,,
5689174016,,,
5445335040,,,
5382471680,,,
5364481024,,,
5338171904,,,
5291174400,,,
5388298752,,,
5395727872,,,
5365971456,,,
5981765120,,,
5786212352,,,
5457234432,,,
5585383424,,,
5633668096,,,
5835697664,,,
5482186752,,,
5592119296,,,
5451986944,,,
5590787072,,,
5803123712,,,
5999839232,,,
5922356224,,,
5773870080,,,
5715532800,,,
5744540672,,,
5599241216,,,
5452280832,,,
5764492800,,,
5402878976,,,
5778827776,,,
5820308992,,,
5497971200,,,
5173632000,,,
5896748032,,,
6079980544,,,
6151506944,,,
5845982720,,,
6067925504,,,
5598186496,,,
5597613568,,,
5874293760,,,
5393883648,,,
5475628032,,,
5810733568,,,
5522085888,,,
5363359744,,,
5856459264,,,
